"","individual","scans_sampled","degree","strength","betweenness","eigenvector","group","season_id","group_size","degree_normalized"
"91","ndin",9,7,0.144540574743494,0.0767195767195767,0.318395369444771,"Ankhase","wet_2025",15,0.5
"92","ndl",11,8,0.0887768288384239,0,0.337818253956502,"Ankhase","wet_2025",15,0.571428571428571
"93","ndon",12,9,0.0740202665233625,0,0.259896357603153,"Ankhase","wet_2025",15,0.642857142857143
"94","sho",5,4,0.0282856996419827,0,0.137297898051417,"Ankhase","wet_2025",15,0.285714285714286
"95","Gale",19,11,0.385927498032127,0.175883256528418,0.000491162199957427,"Noha","dry_2024",22,0.523809523809524
"96","Gale#4",2,1,0.0606060606060606,0,5.84425139166156e-05,"Noha","dry_2024",22,0.0476190476190476
"97","Gree",36,17,0.418644089288806,0.126728110599078,0.000405901078982455,"Noha","dry_2024",22,0.80952380952381
"98","Gree#4",3,2,0.110144927536232,0.0153609831029186,5.62300991242884e-05,"Noha","dry_2024",22,0.0952380952380952
"99","Gri",29,8,0.327818931759719,0.128008192524322,0.000292061651714383,"Noha","dry_2024",22,0.380952380952381
"100","Grim",20,12,0.330672418275184,0.0363543266769073,0.00272148386405716,"Noha","dry_2024",22,0.571428571428571
"101","Grim#4",2,2,0.0494117647058823,0,4.26818691401117e-05,"Noha","dry_2024",22,0.0952380952380952
"102","Gris",49,19,0.420215681653652,0.182283666154634,0.000358593196185106,"Noha","dry_2024",22,0.904761904761905
"103","Gris#4",1,2,0.0910569105691057,0,5.97257999501683e-05,"Noha","dry_2024",22,0.0952380952380952
"104","Griv",15,11,0.363231795687497,0.079621095750128,0.000364497394044817,"Noha","dry_2024",22,0.523809523809524
"105","Griv#4",5,4,0.145256813417191,0.0204813108038914,0.000286583299510026,"Noha","dry_2024",22,0.19047619047619
"106","Gua",22,12,0.507989709955277,0.229646697388633,0.000563880251085083,"Noha","dry_2024",22,0.571428571428571
"107","Gua#4",4,5,0.277960927960928,0.0988223246287762,0.000438515166924113,"Noha","dry_2024",22,0.238095238095238
"108","Hav",10,2,0.0454780361757106,0,2.94899911583255e-05,"Noha","dry_2024",22,0.0952380952380952
"109","Kny",21,4,0.116439554827273,0.00870455709165387,0.00024142075973466,"Noha","dry_2024",22,0.19047619047619
"110","Lus",41,14,0.342028163580723,0.122375832053251,0.000230109567195064,"Noha","dry_2024",22,0.666666666666667
"111","Palm",34,12,0.269032209629055,0.0158730158730159,0.000247221655594267,"Noha","dry_2024",22,0.571428571428571
"112","Palm#4",2,2,0.175,0.014336917562724,0.000313452276271314,"Noha","dry_2024",22,0.0952380952380952
"113","Pom",29,10,0.282793934154499,0.0747567844342038,0.000233023458238498,"Noha","dry_2024",22,0.476190476190476
"114","Prag",18,5,0.146701870247689,0.0133128520225294,0.000359824903427109,"Noha","dry_2024",22,0.238095238095238
"115","Prag#4",3,2,0.0957207207207207,0,6.74342637077725e-05,"Noha","dry_2024",22,0.0952380952380952
"116","Prim",19,8,0.205727880041166,0.0261136712749616,0.000265820103844156,"Noha","dry_2024",22,0.380952380952381
"117","Prim#4",1,1,0.024390243902439,0,1.12063360941125e-05,"Noha","dry_2024",22,0.0476190476190476
"118","Ren",7,3,0.367857142857143,0.0532514080901178,0.000180476275574905,"Noha","dry_2024",22,0.142857142857143
"119","Ris",15,9,0.293424693884571,0.133384536610343,0.00283125470451159,"Noha","dry_2024",22,0.428571428571429
"120","Ris#4",1,1,0.0454545454545455,0,5.11772597542336e-05,"Noha","dry_2024",22,0.0476190476190476
"121","Riva",19,9,0.251445424210723,0.0363543266769073,0.000534248214248846,"Noha","dry_2024",22,0.428571428571429
"122","Udi",16,5,0.184561640748253,0.0230414746543779,0.000305025661019901,"Noha","dry_2024",22,0.238095238095238
